timestamp,action,view,value
2025-03-07 14:01:33.920,Pan,Red1,"(266, 92)"
2025-03-07 14:01:34.002,Pan,Red1,"(272, 87)"
2025-03-07 14:01:34.036,Pan,Red1,"(281, 83)"
2025-03-07 14:01:34.114,Pan,Red1,"(284, 83)"
2025-03-07 14:01:34.124,Pan,Red1,"(286, 83)"
2025-03-07 14:01:34.159,Pan,Red1,"(298, 84)"
2025-03-07 14:01:34.261,Pan,Red1,"(304, 86)"
2025-03-07 14:01:34.295,Pan,Red1,"(313, 91)"
2025-03-07 14:01:34.367,Pan,Red1,"(317, 94)"
2025-03-07 14:01:34.480,Pan,Red1,"(321, 98)"
2025-03-07 14:01:34.485,Pan,Red1,"(322, 100)"
2025-03-07 14:01:34.517,Pan,Red1,"(323, 105)"
2025-03-07 14:01:34.606,Pan,Red1,"(324, 110)"
2025-03-07 14:01:34.616,Pan,Red1,"(325, 111)"
2025-03-07 14:01:34.643,Pan,Red1,"(325, 112)"
2025-03-07 14:01:34.683,Pan,Red1,"(326, 115)"
2025-03-07 14:01:34.793,End Pan,Red1,
2025-03-07 14:01:40.869,Start Zoom,Red1,
2025-03-07 14:01:40.883,Zoom,Red1,"(259, 139)"
2025-03-07 14:01:40.991,Zoom,Red1,"(259, 128)"
2025-03-07 14:01:41.033,Zoom,Red1,"(259, 121)"
2025-03-07 14:01:41.098,Zoom,Red1,"(259, 118)"
2025-03-07 14:01:41.129,Zoom,Red1,"(259, 117)"
2025-03-07 14:01:41.161,Zoom,Red1,"(260, 110)"
2025-03-07 14:01:41.211,Zoom,Red1,"(260, 106)"
2025-03-07 14:01:41.219,Zoom,Red1,"(260, 104)"
2025-03-07 14:01:41.247,Zoom,Red1,"(261, 99)"
2025-03-07 14:01:41.316,Zoom,Red1,"(261, 97)"
2025-03-07 14:01:41.326,Zoom,Red1,"(261, 95)"
2025-03-07 14:01:41.360,Zoom,Red1,"(262, 90)"
2025-03-07 14:01:41.595,Zoom,Red1,"(262, 85)"
2025-03-07 14:01:41.639,Zoom,Red1,"(262, 86)"
2025-03-07 14:01:41.713,Zoom,Red1,"(262, 93)"
2025-03-07 14:01:41.763,Zoom,Red1,"(262, 116)"
2025-03-07 14:01:41.829,Zoom,Red1,"(262, 128)"
2025-03-07 14:01:41.859,Zoom,Red1,"(262, 130)"
2025-03-07 14:01:41.939,Zoom,Red1,"(262, 148)"
2025-03-07 14:01:41.966,Zoom,Red1,"(262, 152)"
2025-03-07 14:01:42.003,Zoom,Red1,"(262, 164)"
2025-03-07 14:01:42.058,Zoom,Red1,"(262, 167)"
2025-03-07 14:01:42.087,Zoom,Red1,"(262, 180)"
2025-03-07 14:01:42.215,Zoom,Red1,"(262, 181)"
2025-03-07 14:01:42.218,End Zoom,Red1,
2025-03-07 14:01:45.335,Start Window_Level,Red1,
2025-03-07 14:01:45.340,Window_Level,Red1,"(312, 94)"
2025-03-07 14:01:45.480,Window_Level,Red1,"(305, 99)"
2025-03-07 14:01:45.488,Window_Level,Red1,"(303, 101)"
2025-03-07 14:01:45.520,Window_Level,Red1,"(298, 107)"
2025-03-07 14:01:45.568,Window_Level,Red1,"(281, 121)"
2025-03-07 14:01:45.675,Window_Level,Red1,"(267, 125)"
2025-03-07 14:01:45.707,Window_Level,Red1,"(252, 131)"
2025-03-07 14:01:45.879,Window_Level,Red1,"(247, 133)"
2025-03-07 14:01:46.029,Window_Level,Red1,"(245, 137)"
